Loja;Num.Cupom;SKU;Familia;Quantidade Comprada;Ativacao Necessaria;Data Cupom;Preco Venda Unidade;Preco Venda Promocao;Desconto Unitario;Desconto Total;Percentual Desconto;Custo Produto;Margem Produto;Margem Promocao
01;229727;985710;PAO DE MEL - LEITE PO ;3,0;3,0;2024-09-05;1,9;1,59;0,30999999999999983;0,9299999999999988;16,32;-1,23272;164,88;177,5295597484277
01;229734;245500;ACEM KG;2,09;2,0;2024-09-05;24,99;24,89;0,09999999999999787;0,20899999999999608;0,4;33,076764;-32,36;-32,891779831257516
01;229734;11921;BISC AYMORE SALPET 200G  ;3,0;3,0;2024-09-05;4,49;3,99;0,5;1,5;11,14;2,2378160000000005;50,16;43,91438596491227
01;229739;436441;CAFE MARAJA 500G;3,0;2,0;2024-09-02;16,99;14,49;2,4999999999999982;7,5;14,71;11,809749;30,49;18,497246376811596
01;229739;15561;MARGARINA QUALY 500G C SAL  ;2,0;2,0;2024-09-02;8,49;7,29;1,2000000000000002;2,4000000000000004;14,13;5,065983;40,33;30,50777777777778
01;229739;393478;TEMP SAZON 60G SABORES;3,0;2,0;2024-09-02;6,49;5,39;1,1000000000000005;3,3000000000000007;16,95;1,982695;69,45;63,21530612244898
01;229743;22989;DETERG LIQ YPE 500ML;3,0;3,0;2024-09-02;2,69;2,49;0,19999999999999973;0,5999999999999996;7,43;1,6113099999999998;40,1;35,28875502008034
01;229744;20701;REFRIG COCA COLA 2L;3,0;2,0;2024-09-05;10,89;10,09;0,8000000000000007;2,400000000000002;7,35;7,776549;28,59;22,928156590683844
01;229747;22965;DETERG LIQ YPE 500ML;3,0;3,0;2024-09-02;2,69;2,49;0,19999999999999973;0,5999999999999996;7,43;1,5717670000000001;41,57;36,87682730923695
01;229750;245500;ACEM KG;2,17;2,0;2024-09-05;24,99;24,89;0,09999999999999787;0,21699999999999875;0,4;33,076764;-32,36;-32,891779831257516
01;229750;2004;LING CALABRESINHA PIFPAF KG ;2,55;2,0;2024-09-05;22,99;19,19;3,799999999999997;9,68999999999999;16,53;9,478777;58,77;50,60564356435644
01;229750;241540;PERNIL DIANTEIRO KG;2,03;2,0;2024-09-05;11,99;10,09;1,9000000000000004;3,8569999999999993;15,85;13,359258;-11,42;-32,40097125867196
01;229750;19460;SAL GLOBO 1KG;4,0;3,0;2024-09-05;2,15;1,79;0,3599999999999999;1,4399999999999995;16,74;0,7443300000000002;65,38;58,41731843575418
01;229761;985710;PAO DE MEL - LEITE PO ;3,0;3,0;2024-09-02;1,9;1,59;0,30999999999999983;0,9299999999999988;16,32;-1,23272;164,88;177,5295597484277
01;229764;27014;DESOD HERBISSIMO 55G;2,0;2,0;2024-09-02;6,19;5,49;0,7000000000000002;1,4000000000000004;11,31;2,753312;55,52;49,84859744990892
01;229776;214131;CR LEITE PIRACANJUBA 200G;4,0;4,0;2024-09-05;4,99;4,29;0,7000000000000002;2,8000000000000007;14,03;-0,6606759999999993;113,24;115,40037296037295
01;229789;516341;PASTEL DE GUARANA UN  ;4,0;4,0;2024-09-02;5,0;3,19;1,81;7,24;36,2;-13,843499999999999;376,87;533,9655172413793
01;229801;20701;REFRIG COCA COLA 2L;4,0;2,0;2024-09-05;10,89;10,09;0,8000000000000007;3,200000000000003;7,35;7,776549;28,59;22,928156590683844
01;229827;22989;DETERG LIQ YPE 500ML;6,0;3,0;2024-09-02;2,69;2,49;0,19999999999999973;1,1999999999999993;7,43;1,6113099999999998;40,1;35,28875502008034
01;229827;698191;MAC INST NINFA 70G;5,0;4,0;2024-09-02;1,45;1,19;0,26;1,3000000000000007;17,93;0,7062949999999999;51,29;40,64747899159665
01;229827;486590;SAB ALBANY SUAVE 85G;10,0;3,0;2024-09-02;1,99;1,79;0,19999999999999996;2,0;10,05;0,8119199999999999;59,2;54,64134078212292
01;229827;19460;SAL GLOBO 1KG;3,0;3,0;2024-09-02;2,15;1,79;0,3599999999999999;1,0799999999999992;16,74;0,7443300000000002;65,38;58,41731843575418
01;229827;435178;SH SEDA 325ML;2,0;2,0;2024-09-02;12,99;11,09;1,9000000000000004;3,8000000000000007;14,63;2,5122660000000003;80,66;77,34656447249775
01;229843;162692;SAB ALBANY SUAVE 85G;5,0;3,0;2024-09-05;1,99;1,79;0,19999999999999996;1,0;10,05;0,8119199999999999;59,2;54,64134078212292
01;229846;687119;SAB ALBANY SUAVE 85G;4,0;3,0;2024-09-02;1,99;1,79;0,19999999999999996;0,7999999999999998;10,05;0,8119199999999999;59,2;54,64134078212292
01;229858;245500;ACEM KG;2,34;2,0;2024-09-05;24,99;24,89;0,09999999999999787;0,23399999999999466;0,4;33,076764;-32,36;-32,891779831257516
01;229860;188050;AP BARBEAR GILLETTE ULT GRIP UN;4,0;4,0;2024-09-05;4,99;2,89;2,1;8,4;42,08;-3,9421000000000004;179,0;236,40484429065745
01;229860;11921;BISC AYMORE SALPET 200G  ;3,0;3,0;2024-09-05;4,49;3,99;0,5;1,5;11,14;2,2378160000000005;50,16;43,91438596491227
01;229931;181372;FEIJAO PRETO DUPRATO 1KG ;3,0;3,0;2024-09-06;7,99;7,29;0,7000000000000002;2,099999999999998;8,76;4,157996;47,96;42,963017832647466
01;229931;518659;ROSQUINHA NINFA 500G DUETO  ;2,0;2,0;2024-09-06;9,69;8,59;1,0999999999999996;2,1999999999999993;11,35;4,098869999999999;57,7;52,283236321303846
01;229938;68109;SALSICHA PIFPAF KG ;2,09;2,0;2024-09-02;9,99;9,09;0,9000000000000004;1,8810000000000002;9,01;6,914078999999999;30,79;23,937524752475255
01;229939;448987;BATATA PALHA MAXBATATA 300G ;2,0;2,0;2024-09-06;11,99;10,09;1,9000000000000004;3,8000000000000007;15,85;5,897881;50,81;41,54726461843409
01;229940;181372;FEIJAO PRETO DUPRATO 1KG ;3,0;3,0;2024-09-02;7,99;7,29;0,7000000000000002;2,099999999999998;8,76;4,157996;47,96;42,963017832647466
01;229943;162692;SAB ALBANY SUAVE 85G;7,0;3,0;2024-09-06;1,99;1,79;0,19999999999999996;1,3999999999999986;10,05;0,8119199999999999;59,2;54,64134078212292
01;229948;22972;DETERG LIQ YPE 500ML;3,0;3,0;2024-09-06;2,69;2,49;0,19999999999999973;0,5999999999999996;7,43;1,6113099999999998;40,1;35,28875502008034
01;229949;20701;REFRIG COCA COLA 2L;2,0;2,0;2024-09-02;10,89;10,09;0,8000000000000007;1,6000000000000014;7,35;7,776549;28,59;22,928156590683844
01;229954;486569;SAB ALBANY SUAVE 85G;3,0;3,0;2024-09-06;1,99;1,79;0,19999999999999996;0,5999999999999996;10,05;0,8119199999999999;59,2;54,64134078212292
01;229989;486590;SAB ALBANY SUAVE 85G;5,0;3,0;2024-09-02;1,99;1,79;0,19999999999999996;1,0;10,05;0,8119199999999999;59,2;54,64134078212292
01;230009;685856;MANTEIGA D NATA 500G  ;4,0;2,0;2024-09-06;22,19;20,19;2,0;8,0;9,01;11,796204;46,84;41,57402674591382
